Employee_ID,Attrition_rate
EID_22713,0.012
EID_9658,0.2337
EID_22203,0.0249
EID_7652,0.993
EID_6516,0.1084
EID_20283,0.1238
EID_21014,0.0379
EID_7693,0.0606
EID_13232,0.8901
EID_6515,0.2577
EID_13639,0.0093
EID_14669,0.0895
EID_16537,0.1096
EID_5782,0.0487
EID_20157,0.3688
EID_1855,0.0471
EID_20748,0.1214
EID_23179,0.5652
EID_12838,0.2978
EID_21656,0.1707
EID_8844,0.1526
EID_1536,0.2676
EID_8822,0.1511
EID_11398,0.091
EID_12965,0.2962
EID_5204,0.0535
EID_10030,0.1435
EID_13227,0.1474
EID_20607,0.1756
EID_14070,0.0848
EID_3755,0.5672
EID_5459,0.8
EID_7697,0.1308
EID_3935,0.0513
EID_19046,0.2609
EID_4040,0.111
EID_17730,0.018000000000000002
EID_4995,0.1928
EID_24653,0.2158
EID_6978,0.0998
EID_13775,0.0126
EID_14608,0.0647
EID_3148,0.2526
EID_24868,0.0939
EID_5521,0.1322
EID_21155,0.1619
EID_3840,0.299
EID_10646,0.2404
EID_6711,0.0771
EID_16247,0.1073
EID_16789,0.0579
EID_17967,0.0111
EID_13270,0.2732
EID_18462,0.0375
EID_22248,0.0251
EID_22693,0.1422
EID_25662,0.0382
EID_23346,0.1871
EID_4437,0.0274
EID_18108,0.015
EID_7000,0.2648
EID_22770,0.1248
EID_7816,0.7585
EID_19615,0.1174
EID_23807,0.1899
EID_16764,0.2356
EID_16818,0.1732
EID_22712,0.1947
EID_18198,0.2108
EID_11154,0.0628
EID_22137,0.9217
EID_11655,0.1906
EID_18514,0.174
EID_24742,0.0574
EID_16019,0.5975
EID_7357,0.2322
EID_20106,0.2309
EID_13284,0.0825
EID_5451,0.0401
EID_19728,0.2218
EID_9178,0.6305
EID_13177,0.1831
EID_14300,0.0189
EID_4379,0.1609
EID_11285,0.232
EID_14882,0.2218
EID_9969,0.8759
EID_23643,0.0778
EID_5935,0.1017
EID_7741,0.1808
EID_6176,0.0987
EID_5418,0.1232
EID_20626,0.3468
EID_1725,0.2612
EID_14317,0.061
EID_12120,0.2249
EID_20264,0.1787
EID_16691,0.1048
EID_1093,0.2123
EID_2565,0.2492
EID_11463,0.2374
EID_12005,0.0835
EID_10326,0.0837
EID_12582,0.1451
EID_18228,0.0381
EID_11670,0.03205
EID_24257,0.7349
EID_7024,0.2345
EID_10382,0.6765
EID_20210,0.1744
EID_10294,0.0424
EID_19941,0.055
EID_25572,0.1827
EID_7758,0.1594
EID_22718,0.0849
EID_1078,0.03945
EID_8227,0.1744
EID_1702,0.1989
EID_3532,0.2596
EID_22452,0.0626
EID_3019,0.2523
EID_22264,0.067
EID_9866,0.1364
EID_3520,0.1574
EID_21098,0.4029
EID_1186,0.0908
EID_12355,0.0154
EID_11020,0.0561
EID_19193,0.1297
EID_17787,0.6613
EID_13719,0.2291
EID_24449,0.0882
EID_12957,0.9361
EID_24794,0.0844
EID_2866,0.6305
EID_10563,0.2192
EID_22492,0.0482
EID_4106,0.0797
EID_6648,0.1123
EID_7209,0.011
EID_9692,0.10735
EID_22763,0.1408
EID_12622,0.1906
EID_9831,0.7242
EID_5731,0.2384
EID_1114,0.0403
EID_25017,0.1576
EID_22956,0.1735
EID_5549,0.0188
EID_12022,0.2317
EID_8034,0.7528
EID_20644,0.6613
EID_20125,0.1855
EID_21957,0.124
EID_8870,0.0097
EID_2305,0.0578
EID_3977,0.1371
EID_14845,0.2599
EID_6629,0.2384
EID_14577,0.7763
EID_24509,0.19
EID_1530,0.0284
EID_21524,0.7444
EID_6647,0.0665
EID_19730,0.5868
EID_4424,0.1105
EID_7964,0.1934
EID_6289,0.5283
EID_2899,0.287
EID_2827,0.0156
EID_8801,0.2357
EID_20454,0.1297
EID_18988,0.0058
EID_8405,0.053
EID_14497,0.2652
EID_11769,0.2227
EID_21353,0.1472
EID_2221,0.1491
EID_13218,0.259
EID_4576,0.0473
EID_17470,0.012
EID_14817,0.0087
EID_21845,0.0939
EID_21987,0.2991
EID_1168,0.2448
EID_14315,0.0937
EID_5043,0.2971
EID_1967,0.4777
EID_22274,0.0204
EID_11091,0.1556
EID_18421,0.0829
EID_8316,0.6516
