Employee_ID,Attrition_rate
EID_22713,0.20518136
EID_9658,0.15828556
EID_22203,0.15828556
EID_7652,0.17250836
EID_6516,0.19603199
EID_20283,0.15890008
EID_21014,0.17451411
EID_7693,0.1627716
EID_13232,0.15828556
EID_6515,0.16885804
EID_13639,0.17473093
EID_14669,0.17797753
EID_16537,0.17711864
EID_5782,0.15828556
EID_20157,0.15828556
EID_1855,0.15828556
EID_20748,0.21519323
EID_23179,0.16322902
EID_12838,0.15828556
EID_21656,0.15828556
EID_8844,0.15828556
EID_1536,0.15828556
EID_8822,0.15828556
EID_11398,0.15828556
EID_12965,0.15828556
EID_5204,0.15828556
EID_10030,0.15828556
EID_13227,0.16985834
EID_20607,0.18643801
EID_14070,0.18504865
EID_3755,0.15828556
EID_5459,0.14132527
EID_7697,0.1709893
EID_3935,0.15828556
EID_19046,0.20785457
EID_4040,0.15828556
EID_17730,0.16211553
EID_4995,0.15828556
EID_24653,0.15828556
EID_6978,0.15828556
EID_13775,0.15828556
EID_14608,0.17562938
EID_3148,0.18197195
EID_24868,0.16510393
EID_5521,0.17140223
EID_21155,0.15828556
EID_3840,0.15828556
EID_10646,0.15828556
EID_6711,0.23733133
EID_16247,0.17468789
EID_16789,0.15828556
EID_17967,0.19676876
EID_13270,0.13586521
EID_18462,0.18096237
EID_22248,0.20300578
EID_22693,0.20250735
EID_25662,0.20029855
EID_23346,0.16187543
EID_4437,0.18228877
EID_18108,0.15828556
EID_7000,0.16754001
EID_22770,0.15828556
EID_7816,0.15828556
EID_19615,0.17062421
EID_23807,0.21913095
EID_16764,0.17824838
EID_16818,0.18582457
EID_22712,0.15828556
EID_18198,0.18298768
EID_11154,0.1653425
EID_22137,0.16322328
EID_11655,0.17042363
EID_18514,0.17007332
EID_24742,0.17635472
EID_16019,0.15852357
EID_7357,0.16030096
EID_20106,0.17185073
EID_13284,0.15828556
EID_5451,0.16124724
EID_19728,0.15828556
EID_9178,0.19164282
EID_13177,0.15828556
EID_14300,0.15976363
EID_4379,0.17402335
EID_11285,0.16564275
EID_14882,0.15828556
EID_9969,0.15828556
EID_23643,0.19000176
EID_5935,0.16280098
EID_7741,0.17743087
EID_6176,0.1796224
EID_5418,0.17273688
EID_20626,0.16017155
EID_1725,0.16525513
EID_14317,0.19529665
EID_12120,0.15828556
EID_20264,0.1714991
EID_16691,0.17108251
EID_1093,0.15828556
EID_2565,0.15828556
EID_11463,0.15828556
EID_12005,0.16979179
EID_10326,0.15828556
EID_12582,0.18496543
EID_18228,0.15828556
EID_11670,0.17696857
EID_24257,0.15828556
EID_7024,0.1976215
EID_10382,0.17166805
EID_20210,0.18889678
EID_10294,0.19475918
EID_19941,0.16452591
EID_25572,0.15828556
EID_7758,0.16421178
EID_22718,0.15839908
EID_1078,0.22304173
EID_8227,0.16593078
EID_1702,0.15828556
EID_3532,0.17573515
EID_22452,0.15828556
EID_3019,0.15828556
EID_22264,0.18066643
EID_9866,0.17014195
EID_3520,0.15828556
EID_21098,0.16477892
EID_1186,0.15828556
EID_12355,0.15828556
EID_11020,0.16610032
EID_19193,0.17463021
EID_17787,0.15828556
EID_13719,0.1687397
EID_24449,0.15828556
EID_12957,0.15828556
EID_24794,0.18204549
EID_2866,0.17178558
EID_10563,0.20650648
EID_22492,0.1947092
EID_4106,0.15828556
EID_6648,0.17674106
EID_7209,0.1836524
EID_9692,0.15828556
EID_22763,0.16885474
EID_12622,0.1690417
EID_9831,0.15828556
EID_5731,0.15828556
EID_1114,0.15828556
EID_25017,0.18081126
EID_22956,0.15828556
EID_5549,0.16181725
EID_12022,0.17532554
EID_8034,0.15828556
EID_20644,0.15828556
EID_20125,0.18213384
EID_21957,0.16852254
EID_8870,0.16519193
EID_2305,0.15012017
EID_3977,0.15828556
EID_14845,0.15828556
EID_6629,0.16430973
EID_14577,0.16665918
EID_24509,0.15828556
EID_1530,0.16151789
EID_21524,0.16985093
EID_6647,0.17616424
EID_19730,0.15828556
EID_4424,0.16758041
EID_7964,0.16969171
EID_6289,0.16021386
EID_2899,0.15828556
EID_2827,0.16965163
EID_8801,0.15828556
EID_20454,0.15026289
EID_18988,0.18147647
EID_8405,0.15828556
EID_14497,0.16659385
EID_11769,0.15828556
EID_21353,0.15828556
EID_2221,0.15856919
EID_13218,0.16861567
EID_4576,0.15828556
EID_17470,0.17311586
EID_14817,0.19513425
EID_21845,0.17547122
EID_21987,0.18034348
EID_1168,0.1619361
EID_14315,0.19266877
EID_5043,0.15828556
EID_1967,0.15828556
EID_22274,0.21783167
EID_11091,0.16226421
EID_18421,0.1617351
EID_8316,0.15828556
EID_13308,0.16923961
EID_19481,0.17150661
EID_17732,0.17299658
EID_4504,0.15828556
EID_2539,0.19493558
EID_19529,0.15828556
EID_2279,0.15828556
EID_14508,0.16220729
EID_12241,0.16324085
EID_11530,0.17340215
EID_20147,0.15828556
EID_6154,0.15828556
EID_3523,0.20633416
EID_20453,0.19467327
EID_11929,0.17931244
EID_12840,0.15828556
EID_22320,0.15828556
EID_25383,0.15828556
EID_10731,0.24341281
EID_1017,0.15828556
EID_1819,0.15828556
EID_22849,0.16032983
EID_12290,0.16459492
EID_24238,0.18158585
EID_3105,0.16488078
